seed	n_val	n_test	n_full	gt_in_prompt	oat.s42_step@1_val	oat.s42_step@1_test	oat.s42_step@1_full	oat.s42_agent@1_val	oat.s42_agent@1_test	oat.s42_agent@1_full	oat.s43_step@1_val	oat.s43_step@1_test	oat.s43_step@1_full	oat.s43_agent@1_val	oat.s43_agent@1_test	oat.s43_agent@1_full	oat.s44_step@1_val	oat.s44_step@1_test	oat.s44_step@1_full	oat.s44_agent@1_val	oat.s44_agent@1_test	oat.s44_agent@1_full	oat.s45_step@1_val	oat.s45_step@1_test	oat.s45_step@1_full	oat.s45_agent@1_val	oat.s45_agent@1_test	oat.s45_agent@1_full	oat.s46_step@1_val	oat.s46_step@1_test	oat.s46_step@1_full	oat.s46_agent@1_val	oat.s46_agent@1_test	oat.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
11	18	46	91	False	0.05555555555555555	0.2391304347826087	0.15384615384615385	0.5555555555555556	0.717391304347826	0.6373626373626373	0.05555555555555555	0.21739130434782608	0.14285714285714285	0.5	0.6956521739130435	0.6153846153846154	0.0	0.2391304347826087	0.14285714285714285	0.4444444444444444	0.6956521739130435	0.5934065934065934	0.05555555555555555	0.1956521739130435	0.13186813186813187	0.5555555555555556	0.6521739130434783	0.6043956043956044	0.05555555555555555	0.21739130434782608	0.14285714285714285	0.5555555555555556	0.7391304347826086	0.6483516483516484	0.2391304347826087	0.7391304347826086	0.15384615384615385	0.6483516483516484
12	18	46	91	False	0.1111111111111111	0.1956521739130435	0.15384615384615385	0.6666666666666666	0.6739130434782609	0.6373626373626373	0.1111111111111111	0.1956521739130435	0.14285714285714285	0.6666666666666666	0.6521739130434783	0.6153846153846154	0.1111111111111111	0.17391304347826086	0.14285714285714285	0.6666666666666666	0.6304347826086957	0.5934065934065934	0.1111111111111111	0.17391304347826086	0.13186813186813187	0.5555555555555556	0.6739130434782609	0.6043956043956044	0.1111111111111111	0.1956521739130435	0.14285714285714285	0.6666666666666666	0.6956521739130435	0.6483516483516484	0.1956521739130435	0.6956521739130435	0.15384615384615385	0.6483516483516484
13	18	46	91	False	0.1111111111111111	0.1956521739130435	0.15384615384615385	0.5555555555555556	0.7391304347826086	0.6373626373626373	0.1111111111111111	0.17391304347826086	0.14285714285714285	0.4444444444444444	0.7391304347826086	0.6153846153846154	0.1111111111111111	0.1956521739130435	0.14285714285714285	0.3888888888888889	0.7391304347826086	0.5934065934065934	0.1111111111111111	0.17391304347826086	0.13186813186813187	0.4444444444444444	0.7391304347826086	0.6043956043956044	0.1111111111111111	0.17391304347826086	0.14285714285714285	0.5555555555555556	0.7608695652173914	0.6483516483516484	0.1956521739130435	0.7608695652173914	0.15384615384615385	0.6483516483516484
14	18	46	91	False	0.16666666666666666	0.10869565217391304	0.15384615384615385	0.5555555555555556	0.6304347826086957	0.6373626373626373	0.16666666666666666	0.10869565217391304	0.14285714285714285	0.5555555555555556	0.6304347826086957	0.6153846153846154	0.1111111111111111	0.08695652173913043	0.14285714285714285	0.5	0.5869565217391305	0.5934065934065934	0.16666666666666666	0.10869565217391304	0.13186813186813187	0.5555555555555556	0.6086956521739131	0.6043956043956044	0.16666666666666666	0.10869565217391304	0.14285714285714285	0.5555555555555556	0.6521739130434783	0.6483516483516484	0.10869565217391304	0.6521739130434783	0.15384615384615385	0.6483516483516484
15	18	46	91	False	0.1111111111111111	0.17391304347826086	0.15384615384615385	0.6111111111111112	0.6304347826086957	0.6373626373626373	0.1111111111111111	0.15217391304347827	0.14285714285714285	0.6111111111111112	0.6086956521739131	0.6153846153846154	0.16666666666666666	0.15217391304347827	0.14285714285714285	0.6666666666666666	0.5869565217391305	0.5934065934065934	0.1111111111111111	0.13043478260869565	0.13186813186813187	0.5555555555555556	0.5869565217391305	0.6043956043956044	0.1111111111111111	0.15217391304347827	0.14285714285714285	0.6111111111111112	0.6521739130434783	0.6483516483516484	0.17391304347826086	0.6521739130434783	0.15384615384615385	0.6483516483516484
16	18	46	91	False	0.1111111111111111	0.13043478260869565	0.15384615384615385	0.6666666666666666	0.6739130434782609	0.6373626373626373	0.1111111111111111	0.13043478260869565	0.14285714285714285	0.6666666666666666	0.6521739130434783	0.6153846153846154	0.05555555555555555	0.15217391304347827	0.14285714285714285	0.6666666666666666	0.6521739130434783	0.5934065934065934	0.1111111111111111	0.13043478260869565	0.13186813186813187	0.6111111111111112	0.6304347826086957	0.6043956043956044	0.1111111111111111	0.13043478260869565	0.14285714285714285	0.7222222222222222	0.6739130434782609	0.6483516483516484	0.15217391304347827	0.6739130434782609	0.15384615384615385	0.6483516483516484
17	18	46	91	False	0.16666666666666666	0.10869565217391304	0.15384615384615385	0.6111111111111112	0.6521739130434783	0.6373626373626373	0.16666666666666666	0.10869565217391304	0.14285714285714285	0.5555555555555556	0.6521739130434783	0.6153846153846154	0.2222222222222222	0.08695652173913043	0.14285714285714285	0.6111111111111112	0.6086956521739131	0.5934065934065934	0.16666666666666666	0.10869565217391304	0.13186813186813187	0.5	0.6521739130434783	0.6043956043956044	0.16666666666666666	0.10869565217391304	0.14285714285714285	0.6111111111111112	0.6739130434782609	0.6483516483516484	0.10869565217391304	0.6739130434782609	0.15384615384615385	0.6483516483516484
18	18	46	91	False	0.2222222222222222	0.17391304347826086	0.15384615384615385	0.6666666666666666	0.6521739130434783	0.6373626373626373	0.16666666666666666	0.17391304347826086	0.14285714285714285	0.6111111111111112	0.6521739130434783	0.6153846153846154	0.16666666666666666	0.17391304347826086	0.14285714285714285	0.5555555555555556	0.6304347826086957	0.5934065934065934	0.1111111111111111	0.17391304347826086	0.13186813186813187	0.6111111111111112	0.6304347826086957	0.6043956043956044	0.16666666666666666	0.17391304347826086	0.14285714285714285	0.6666666666666666	0.6521739130434783	0.6483516483516484	0.17391304347826086	0.6521739130434783	0.15384615384615385	0.6483516483516484
19	18	46	91	False	0.16666666666666666	0.17391304347826086	0.15384615384615385	0.5555555555555556	0.6304347826086957	0.6373626373626373	0.16666666666666666	0.15217391304347827	0.14285714285714285	0.5555555555555556	0.6086956521739131	0.6153846153846154	0.1111111111111111	0.17391304347826086	0.14285714285714285	0.4444444444444444	0.6086956521739131	0.5934065934065934	0.16666666666666666	0.13043478260869565	0.13186813186813187	0.5555555555555556	0.6086956521739131	0.6043956043956044	0.16666666666666666	0.15217391304347827	0.14285714285714285	0.5555555555555556	0.6521739130434783	0.6483516483516484	0.17391304347826086	0.6521739130434783	0.15384615384615385	0.6483516483516484
20	18	46	91	False	0.1111111111111111	0.1956521739130435	0.15384615384615385	0.5555555555555556	0.5652173913043478	0.6373626373626373	0.1111111111111111	0.17391304347826086	0.14285714285714285	0.5555555555555556	0.5434782608695652	0.6153846153846154	0.1111111111111111	0.1956521739130435	0.14285714285714285	0.5	0.5217391304347826	0.5934065934065934	0.1111111111111111	0.15217391304347827	0.13186813186813187	0.5555555555555556	0.5217391304347826	0.6043956043956044	0.1111111111111111	0.17391304347826086	0.14285714285714285	0.5555555555555556	0.5652173913043478	0.6483516483516484	0.1956521739130435	0.5652173913043478	0.15384615384615385	0.6483516483516484
